"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","BOWIE","037","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","FRANKLIN","159","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","HOPKINS","223","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","SHELBY","419","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","BRAZOS","041","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,428","18.3"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","GRIMES","185","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","LEON","289","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","ROBERTSON","395","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,746","18.3"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","SAN JACINTO","407","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","WALLER","473","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,672","18.3"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","BLANCO","031","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","COKE","081","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","CONCHO","095","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,677","18.3"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","GILLESPIE","171","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,411","18.3"
