Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,BRISCOE,45,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,574.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,CARSON,65,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"34,031.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,CASTRO,69,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,714.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,DALLAM,111,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"14,457.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,DEAF SMITH,117,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"41,104.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,FLOYD,153,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,751.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,GRAY,179,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,743.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,HALE,189,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,373.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,HANSFORD,195,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,662.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,HARTLEY,205,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,972.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,HUTCHINSON,233,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,863.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,LIPSCOMB,295,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"11,595.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,MOORE,341,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"20,873.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,OCHILTREE,357,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"41,040.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,OLDHAM,359,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,321.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,PARMER,369,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"22,413.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,POTTER,375,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,217.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,RANDALL,381,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,414.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,ROBERTS,393,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,SHERMAN,421,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"24,168.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,SWISHER,437,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"18,019.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,BORDEN,33,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,CHILDRESS,75,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,875.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,COLLINGSWORTH,87,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,954.00,18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,DICKENS,125,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,074.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,DONLEY,129,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,941.00,18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,HALL,191,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,HARDEMAN,197,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,KENT,263,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,MOTLEY,345,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,WHEELER,483,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,WICHITA,485,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,765.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,WILBARGER,487,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,254.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,AUSTIN,15,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,853.00,18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BASTROP,21,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BEE,25,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,068.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BEXAR,29,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,230.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BURLESON,51,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,802.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,CALDWELL,55,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,495.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,COLORADO,89,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,COMAL,91,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,DE WITT,123,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,FAYETTE,149,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,636.00,18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GOLIAD,175,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,700.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GONZALES,177,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,227.00,18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GUADALUPE,187,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"16,719.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,HAYS,209,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,385.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,KARNES,255,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,836.00",18.3
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,LAVACA,285,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,LEE,287,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,(D)
CENSUS,2017,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,MEDINA,325,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,941.00",18.3
